,Cfperc,Ffperc,PDO,Foperc,oiSHperc,oZSperc,Playoff,ConfFinal
105,0.491,0.483,1.009,0.515,0.091,0.484,1,0
106,0.52,0.514,1.002,0.511,0.088,0.517,1,0
107,0.51,0.511,0.982,0.512,0.084,0.527,0,0
108,0.493,0.488,0.991,0.519,0.076,0.493,0,0
109,0.487,0.498,0.985,0.487,0.083,0.524,0,0
110,0.492,0.506,1.01,0.477,0.091,0.524,1,0
111,0.469,0.471,0.994,0.502,0.092,0.477,0,0
112,0.485,0.488,1.007,0.5,0.098,0.505,0,0
113,0.486,0.482,0.983,0.508,0.079,0.519,0,0
114,0.491,0.483,1.015,0.502,0.09,0.482,1,0
115,0.469,0.471,0.983,0.506,0.092,0.494,0,0
116,0.462,0.454,0.987,0.442,0.087,0.506,0,0
117,0.524,0.524,0.977,0.512,0.073,0.535,0,0
118,0.448,0.459,1.012,0.477,0.1,0.511,1,0
119,0.457,0.453,1.008,0.508,0.094,0.458,0,0
120,0.55,0.554,1.002,0.504,0.098,0.555,1,0
121,0.526,0.542,0.992,0.533,0.079,0.534,1,0
122,0.533,0.527,1.016,0.545,0.098,0.523,1,0
123,0.52,0.525,1.002,0.483,0.098,0.53,1,0
124,0.511,0.503,1.005,0.501,0.094,0.535,1,0
125,0.528,0.52,1.018,0.522,0.093,0.517,1,0
126,0.534,0.525,0.999,0.515,0.075,0.513,1,1
127,0.545,0.546,1.001,0.516,0.091,0.564,1,0
128,0.488,0.484,0.995,0.507,0.084,0.506,0,0
129,0.529,0.538,1.01,0.504,0.081,0.527,1,0
130,0.526,0.523,0.994,0.505,0.093,0.554,1,0
131,0.509,0.504,0.988,0.516,0.077,0.508,0,0
132,0.497,0.503,0.993,0.49,0.089,0.508,0,0
133,0.493,0.485,1.012,0.502,0.086,0.504,1,1
134,0.488,0.479,0.995,0.517,0.097,0.51,0,0
135,0.483,0.485,1.002,0.491,0.088,0.475,0,0
136,0.486,0.489,1.0,0.483,0.088,0.5,0,0
137,0.491,0.482,1.002,0.495,0.088,0.518,0,0
138,0.5,0.497,0.995,0.506,0.081,0.517,1,0
139,0.477,0.485,0.979,0.48,0.081,0.512,0,0
140,0.491,0.494,0.993,0.474,0.088,0.509,0,0
141,0.478,0.484,1.003,0.5,0.094,0.481,1,0
142,0.496,0.496,0.979,0.509,0.08,0.494,0,0
143,0.482,0.5,1.016,0.499,0.095,0.497,1,1
144,0.472,0.465,1.002,0.462,0.087,0.494,0,0
145,0.465,0.468,0.993,0.486,0.104,0.469,0,0
146,0.464,0.467,1.003,0.477,0.095,0.505,0,0
147,0.447,0.451,0.991,0.512,0.076,0.454,0,0
148,0.461,0.467,1.021,0.49,0.102,0.474,1,0
149,0.506,0.509,1.002,0.471,0.095,0.517,1,1
150,0.532,0.519,1.004,0.492,0.07,0.534,1,0
151,0.513,0.503,0.98,0.502,0.082,0.536,0,0
152,0.517,0.524,0.996,0.534,0.076,0.513,1,0
153,0.535,0.533,1.004,0.564,0.081,0.499,1,1
154,0.531,0.534,1.003,0.497,0.099,0.533,1,0
155,0.556,0.548,0.996,0.52,0.092,0.557,1,1
156,0.502,0.503,0.996,0.52,0.082,0.525,0,0
157,0.509,0.518,1.005,0.5,0.085,0.543,1,0
158,0.506,0.511,0.99,0.497,0.091,0.522,1,0
159,0.502,0.499,0.992,0.49,0.091,0.506,0,0
160,0.539,0.537,1.001,0.508,0.084,0.562,1,0
161,0.534,0.541,1.023,0.508,0.1,0.546,1,1
162,0.495,0.504,1.028,0.515,0.113,0.501,1,1
163,0.519,0.506,1.007,0.476,0.09,0.515,1,0
164,0.48,0.48,1.025,0.508,0.108,0.487,1,0
165,0.485,0.493,0.995,0.485,0.095,0.471,0,0
166,0.473,0.478,0.981,0.511,0.081,0.503,0,0
167,0.48,0.465,1.008,0.472,0.102,0.478,0,0
168,0.562,0.564,0.969,0.482,0.079,0.536,0,0
169,0.52,0.532,0.994,0.507,0.092,0.524,1,0
170,0.479,0.488,1.014,0.475,0.1,0.495,1,0
171,0.509,0.509,0.989,0.525,0.085,0.509,1,0
172,0.486,0.482,0.963,0.494,0.077,0.552,0,0
173,0.45,0.45,1.032,0.501,0.115,0.453,1,0
174,0.477,0.478,0.988,0.466,0.099,0.464,0,0
175,0.486,0.473,1.009,0.52,0.09,0.502,0,0
176,0.468,0.47,1.011,0.512,0.111,0.484,0,0
177,0.45,0.448,1.002,0.462,0.088,0.494,0,0
178,0.443,0.446,1.013,0.461,0.096,0.49,0,0
179,0.47,0.477,0.989,0.497,0.087,0.46,0,0
180,0.545,0.555,1.0,0.528,0.084,0.515,1,0
181,0.556,0.549,0.999,0.528,0.076,0.548,1,1
182,0.508,0.497,0.995,0.512,0.085,0.511,0,0
183,0.528,0.529,1.002,0.488,0.078,0.531,1,1
184,0.511,0.502,0.991,0.526,0.08,0.537,0,0
185,0.509,0.51,0.999,0.5,0.088,0.527,1,0
186,0.547,0.547,1.001,0.52,0.096,0.559,1,1
187,0.53,0.527,1.027,0.516,0.098,0.532,1,0
188,0.516,0.521,0.983,0.514,0.076,0.496,0,0
189,0.507,0.505,1.003,0.5,0.094,0.519,1,0
190,0.503,0.506,0.994,0.469,0.087,0.516,0,0
191,0.5,0.499,0.979,0.472,0.085,0.518,0,0
192,0.502,0.511,1.016,0.492,0.102,0.517,1,0
193,0.5,0.5,0.996,0.52,0.084,0.522,0,0
194,0.524,0.53,1.012,0.519,0.099,0.528,1,0
195,0.497,0.503,1.008,0.492,0.095,0.52,1,0
196,0.504,0.499,0.974,0.483,0.077,0.504,0,0
197,0.472,0.472,1.01,0.484,0.093,0.516,0,0
198,0.468,0.481,1.011,0.496,0.089,0.468,1,1
