Rk,Tm,Season,CF,CA,Cfperc,FF,FA,Ffperc,oiSHperc,oiSVperc,PDO,oZSperc,dZSperc,FOwin,FOloss,Foperc,HIT,BLK,Playoff,ConfFinal
111,TBL,2014-15,4471,4315,50.9,3318,3215,50.8,10.5,91,101.5,53.6,46.4,2228,2410,48,1742,1100,1,1
112,MTL,2014-15,4469,4805,48.2,3238,3399,48.8,9.1,92.6,101.7,47.9,52.1,2695,2452,52.4,1696,1406,1,0
115,FLA,2014-15,4454,4326,50.7,3396,3325,50.5,7.9,91.2,99.1,51.1,48.9,2505,2650,48.6,2268,1001,0,0
125,VAN,2014-15,4414,4587,49,3345,3372,49.8,9.6,91.1,100.7,49.6,50.4,2326,2635,46.9,1577,1215,1,0
128,TOR,2014-15,4408,5038,46.7,3332,3863,46.3,8.6,90.6,99.2,47.1,52.9,2547,2647,49,2545,1175,0,0
135,CGY,2014-15,4392,5018,46.7,3173,3449,47.9,10.5,90.9,101.4,48.4,51.6,2456,2693,47.7,1804,1569,1,0
168,CBJ,2014-15,4212,4744,47,3187,3664,46.5,9.5,91,100.5,47.4,52.6,2497,2570,49.3,2510,1080,0,0
190,COL,2014-15,4087,5182,44.1,3053,3791,44.6,9.1,91.8,100.9,47.2,52.8,2561,2478,50.8,2018,1391,0,0
218,NJD,2014-15,3731,4436,45.7,2799,3374,45.3,8.9,91.8,100.6,46.5,53.5,2162,2462,46.8,1660,1062,0,0
235,BUF,2014-15,3446,5617,38,2640,4083,39.3,7.7,90.8,98.5,42.4,57.6,2195,2666,45.2,2204,1534,0,0
171,DAL,2015-16,4203,3743,52.9,3082,2802,52.4,9.8,90.3,100.2,53,47,2176,2107,50.8,1209,941,0,0
199,LAK,2015-16,4027,3295,55,3030,2501,54.8,8,91.8,99.8,54.9,45.1,1971,1975,49.9,1937,794,0,0
204,TOR,2015-16,3976,3565,52.7,2935,2747,51.7,7.4,90.5,97.9,51.2,48.8,2089,1985,51.3,1767,818,0,0
209,MTL,2015-16,3873,3492,52.6,2812,2603,51.9,8.5,90.4,98.8,49.6,50.4,2152,2051,51.2,1499,889,0,0
210,CAR,2015-16,3848,3330,53.6,2845,2556,52.7,8.1,90.2,98.2,54.6,45.4,2030,1743,53.8,1254,774,0,0
211,PIT,2015-16,3767,3515,51.7,2849,2676,51.6,8.3,91.9,100.3,52.1,47.9,2072,2016,50.7,1575,839,0,0
212,PHI,2015-16,3765,3714,50.3,2737,2704,50.3,8.3,91.8,100,50.6,49.4,1926,1913,50.2,1796,1010,0,0
215,CHI,2015-16,3748,3712,50.2,2748,2792,49.6,9.2,92.3,101.4,51.6,48.4,1959,2001,49.5,1156,920,0,0
216,EDM,2015-16,3741,3985,48.4,2717,2960,47.9,8.3,90.7,99,48.4,51.6,2044,2095,49.4,1484,1025,0,0
217,ANA,2015-16,3735,3433,52.1,2800,2510,52.7,8.2,91.7,99.9,50,50,1948,1842,51.4,1734,923,0,0
219,BOS,2015-16,3713,3829,49.2,2803,2863,49.5,9.4,91.3,100.7,49.1,50.9,2077,2059,50.2,1735,966,0,0
220,WSH,2015-16,3688,3702,49.9,2778,2686,50.8,10.5,92.1,102.6,51.6,48.4,1916,1922,49.9,1569,1016,0,0
221,NSH,2015-16,3684,3403,52,2763,2426,53.2,8.8,90.7,99.5,52.1,47.9,1963,2007,49.4,1514,977,0,0
222,OTT,2015-16,3645,4015,47.6,2668,3044,46.7,9.8,90.9,100.7,51,49,2097,2024,50.9,1867,971,0,0
223,WPG,2015-16,3644,3499,51,2689,2629,50.6,8.5,90.1,98.6,52.5,47.5,1846,2026,47.7,1674,870,0,0
224,STL,2015-16,3625,3691,49.5,2737,2744,49.9,8.3,92.1,100.4,48.6,51.4,2094,2025,50.8,1579,947,0,0
225,MIN,2015-16,3614,3740,49.1,2712,2759,49.6,9,91.3,100.3,51.8,48.2,2107,1964,51.8,1162,981,0,0
227,NYI,2015-16,3599,3596,50,2629,2601,50.3,9.4,91.8,101.3,52.8,47.2,1790,1793,50,1837,995,0,0
228,TBL,2015-16,3577,3442,51,2682,2625,50.5,9.4,91.9,101.3,53.9,46.1,1893,1936,49.4,1320,817,0,0
229,SJS,2015-16,3574,3477,50.7,2713,2469,52.4,9.8,90.5,100.3,50.6,49.4,1948,1894,50.7,1303,1008,0,0
230,CGY,2015-16,3565,3773,48.6,2604,2696,49.1,9.3,89.5,98.8,51.8,48.2,1903,2035,48.3,1346,1077,0,0
231,NYR,2015-16,3504,3828,47.8,2634,2768,48.8,9.7,91.4,101.1,50.8,49.2,1872,1908,49.5,1777,1060,0,0
232,DET,2015-16,3482,3345,51,2631,2636,50,8.5,91.4,99.9,53.7,46.3,1845,1871,49.7,1304,709,0,0
233,CBJ,2015-16,3466,3874,47.2,2595,2844,47.7,8.8,90.2,99,47.4,52.6,1957,2089,48.4,1774,1030,0,0
234,BUF,2015-16,3466,3694,48.4,2639,2820,48.3,7.9,91.6,99.5,49.3,50.7,1950,2001,49.4,1529,874,0,0
236,ARI,2015-16,3434,3736,47.9,2550,2850,47.2,9.6,89.9,99.5,49.3,50.7,2171,1872,53.7,1463,886,0,0
237,COL,2015-16,3390,4141,45,2586,3008,46.2,9.2,90.9,100.1,48.6,51.4,1949,1950,50,1537,1133,0,0
238,VAN,2015-16,3282,3597,47.7,2500,2734,47.8,8.2,91.1,99.4,50.8,49.2,1745,2102,45.4,1160,863,0,0
239,FLA,2015-16,3183,3379,48.5,2498,2628,48.7,9.4,92,101.4,48.6,51.4,1968,2013,49.4,1589,751,0,0
243,NJD,2015-16,2954,3414,46.4,2286,2571,47.1,8.9,91.4,100.3,47.6,52.4,1799,2038,46.9,1517,843,0,0
